drug,n_high,n_low,median_high,median_low,median_difference,mean_high,mean_low,mean_difference,p_value,fdr_bh,sensitivity_rank
SB505124_1194,191,192,641633611607.207,1372917255705.02,-731283644097.817,820640907151.068,1826936946012.22,-1006296038861.15,2.06451071375775e-05,4.25805334712536e-05,1
BMS-754807_2171,191,192,14751351.8132045,22269930.974341,-7518579.16113652,15434228.9663031,23544483.9283429,-8110254.96203983,2.06451071375775e-05,4.25805334712536e-05,2
Mitoxantrone_1810,191,192,0.0449361989730868,1.5188460092687,-1.47390981029561,0.0298915088412772,1.41942699657926,-1.38953548773799,2.9704103575437e-22,2.80067262282692e-21,3
Nutlin-3a (-)_1047,191,192,4.18510982416827,5.31607150186764,-1.13096167769937,4.14192719911042,5.28222374994052,-1.1402965508301,3.27396082967609e-23,3.41181181197824e-22,4
Dasatinib_1079,191,192,0.952451123878504,2.04361923308463,-1.09116810920612,0.977058701184466,2.00817580098724,-1.03111709980277,1.54809506362095e-24,1.76903652090387e-23,5
Cisplatin_1005,191,192,3.06570269904461,3.90253208367206,-0.836829384627451,3.02269690948953,3.92246513355814,-0.899768224068601,5.53444172438201e-18,3.65273153809212e-17,6
Entinostat_1593,191,192,2.11443793271534,2.88266360413243,-0.768225671417091,2.09573940810109,2.89490737575069,-0.799167967649599,1.31864939045989e-21,1.1867844514139e-20,7
Gemcitabine_1190,191,192,-0.763410093347177,-0.240018935119771,-0.523391158227405,-0.717352513981027,0.0292153864851809,-0.746567900466208,2.00739488301908e-06,4.62167659113696e-06,8
AMG-319_2045,191,192,4.67742286709045,5.37292315748695,-0.695500290396494,4.63077638392546,5.346903870007,-0.716127486081538,5.6806428629003e-30,7.02979554283912e-29,9
MK-8776_2046,191,192,3.08520485091372,3.7752338827106,-0.690029031796879,3.05313819297591,3.73941876529742,-0.686280572321511,2.10482699975716e-22,2.08377872975959e-21,10
Teniposide_1809,191,192,0.392861505122996,0.934995980255771,-0.542134475132775,0.310935866208524,0.983461505858369,-0.672525639649846,2.31342650445871e-14,1.30873842252235e-13,11
Cytarabine_1006,191,192,1.83603923251458,2.26144654826323,-0.425407315748651,1.68503884495178,2.28326161553754,-0.598222770585761,7.08728449658416e-10,2.5514224187703e-09,12
Camptothecin_1003,191,192,-2.48005262208846,-1.96890591797362,-0.511146704114841,-2.45968940980834,-1.8696334528099,-0.590055956998433,2.29549296370556e-12,1.13626901703425e-11,13
WZ4003_1614,191,192,3.43628795842068,3.98526119513169,-0.548973236711012,3.46114442853321,4.04639202873819,-0.585247600204981,2.66510868524124e-18,1.88461257027773e-17,14
SB216763_1025,191,192,4.82335096828482,5.40787210452372,-0.584521136238905,4.8738783214688,5.4490356141734,-0.575157292704604,2.26705102548422e-21,1.95163523063424e-20,15
Topotecan_1808,191,192,-0.0413249571279453,0.551947589731696,-0.593272546859641,0.018851202731786,0.587238587665313,-0.568387384933527,3.58942343164586e-12,1.69215676063305e-11,16
Sabutoclax_1849,191,192,-0.584689452034148,-0.102142848799307,-0.482546603234841,-0.618554840043685,-0.0888658287174613,-0.529689011326224,4.69843095161813e-20,3.57803587853996e-19,17
Fludarabine_1813,191,192,4.95242594737128,5.43193115531794,-0.479505207946666,4.88708752673733,5.40631362001722,-0.519226093279888,1.34876457641189e-15,7.85457018028102e-15,18
Irinotecan_1088,191,192,2.56478792240006,3.01887603857385,-0.454088116173793,2.58290251830726,3.09293666411977,-0.510034145812501,5.1660462250656e-10,1.92995689162828e-09,19
Niraparib_1177,191,192,4.27715757607484,4.72160712181646,-0.444449545741628,4.24399122347337,4.71797217744728,-0.473980953973912,7.79058699879624e-16,4.67435219927775e-15,20
PRT062607_1631,191,192,3.14710777482154,3.64458645256377,-0.497478677742228,3.1606593071449,3.62393431652429,-0.463275009379391,6.45198462297467e-18,4.12094501725479e-17,21
Nelarabine_1814,191,192,5.94734094259079,6.32547880441305,-0.378137861822264,5.87958941694756,6.33340011487618,-0.453810697928625,1.07925784893147e-17,6.67790794026348e-17,22
Vinblastine_1004,191,192,-3.82836550057996,-3.3510295660454,-0.477335934534554,-3.77901838107865,-3.32648793916644,-0.45253044191221,3.82199503398562e-07,1.0090066889722e-06,23
Entospletinib_1630,191,192,3.58610797309244,3.99260603980054,-0.406498066708103,3.53177718885082,3.97591421710328,-0.44413702825246,2.61193345329422e-21,2.15484509896773e-20,24
PRIMA-1MET_1131,191,192,4.61054534781919,5.02881232179458,-0.418266973975394,4.56777110458464,5.00130587445961,-0.43353476987497,6.32370749225972e-12,2.9118467057382e-11,25
Talazoparib_1259,191,192,3.2945971294497,3.67476898492993,-0.380171855480228,3.25045511178311,3.6737742382899,-0.423319126506791,4.8806801392083e-09,1.61062444593874e-08,26
Selumetinib_1736,191,192,4.03738176019562,4.4436924816749,-0.406310721479289,3.99066925145326,4.40556216739523,-0.414892915941968,4.31799123404616e-08,1.32911512004396e-07,27
CZC24832_1615,191,192,5.08539897117384,5.47041249866151,-0.385013527487661,5.04407072977964,5.45370396039663,-0.409633230616981,3.97069366395112e-18,2.71102532918042e-17,28
Savolitinib_1936,191,192,2.49784655951834,2.88610090516983,-0.388254345651487,2.47004883311219,2.87081099449538,-0.400762161383195,1.67181975382266e-18,1.22600115280328e-17,29
Temozolomide_1375,191,192,5.89185973232138,6.27807061855881,-0.386210886237423,5.85619796099149,6.24824907656544,-0.392051115573943,9.9240408390306e-13,5.17094759507384e-12,30
AT13148_2170,191,192,3.82648840004574,4.18294097510482,-0.356452575059084,3.8179888691128,4.20193007738292,-0.383941208270118,1.16743906171822e-08,3.728273132584e-08,31
Rapamycin_1084,191,192,-2.31717951918447,-1.93882827148724,-0.378351247697235,-2.3291350963857,-1.95377318175659,-0.375361914629115,1.36678336815352e-11,6.01384681987547e-11,32
AZD5991_1720,191,192,4.44455467390053,4.80777029031033,-0.363215616409804,4.39759154354157,4.76236109423494,-0.364769550693365,0.000157010526048878,0.000307802813442355,33
